from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
100,100,saturday-18A,saturday-19A,4,0
100,100,saturday-19A,saturday-20A,4,0
100,100,saturday-20A,saturday-21A,4,0
100,100,saturday-21A,saturday-22A,4,0
100,100,saturday-22A,saturday-23A,4,0
100,100,saturday-23A,saturday-24A,4,0
100,100,saturday-24A,saturday-25A,4,0
100,100,saturday-25A,saturday-26A,4,0
100,100,saturday-26A,saturday-27A,4,0
100,100,saturday-27A,saturday-28A,4,0
100,100,saturday-28A,saturday-29A,4,0
100,100,saturday-29A,saturday-30A,4,0
100,100,saturday-30A,saturday-31A,4,0
100,100,saturday-31A,saturday-32A,4,0
100,100,saturday-32A,saturday-33A,4,0
100,100,saturday-33A,saturday-34A,4,0
100,100,saturday-34A,saturday-35A,4,0
100,100,saturday-35A,saturday-36A,4,0
100,100,saturday-36A,saturday-37A,4,0
100,100,saturday-37A,saturday-38A,4,0
100,100,saturday-38A,saturday-39A,4,0
100,100,saturday-39A,saturday-40A,4,0
100,100,saturday-40A,saturday-41A,4,0
100,100,saturday-41A,saturday-42A,4,0
100,100,saturday-42A,saturday-43A,4,0
100,100,saturday-43A,saturday-44A,4,0
100,100,saturday-44A,saturday-45A,4,0
100,100,saturday-45A,saturday-46A,4,0
100,100,saturday-46A,saturday-47A,4,0
100,100,saturday-47A,saturday-48A,4,0
100,100,saturday-48A,saturday-49A,4,0
100,100,saturday-49A,saturday-50A,4,0
100,100,saturday-50A,saturday-51A,4,0
100,100,saturday-51A,saturday-52A,4,0
100,100,saturday-52A,saturday-53A,4,0
100,100,saturday-53A,saturday-54A,4,0
100,100,saturday-54A,saturday-55A,4,0
100,100,saturday-55A,saturday-56A,4,0
100,100,saturday-1B,saturday-2B,4,0
100,100,saturday-2B,saturday-3B,4,0
100,100,saturday-3B,saturday-4B,4,0
100,100,saturday-4B,saturday-5B,4,0
100,100,saturday-5B,saturday-6B,4,0
100,100,saturday-6B,saturday-7B,4,0
100,100,saturday-7B,saturday-8B,4,0
100,100,saturday-8B,saturday-9B,4,0
100,100,saturday-9B,saturday-1B,4,0
100,100,saturday-10B,saturday-11B,4,0
100,100,saturday-11B,saturday-12B,4,0
100,100,saturday-12B,saturday-13B,4,0
100,100,saturday-13B,saturday-14B,4,0
100,100,saturday-14B,saturday-15B,4,0
100,100,saturday-15B,saturday-16B,4,0
100,100,saturday-16B,saturday-17B,4,0
100,100,saturday-17B,saturday-18B,4,0
100,100,saturday-18B,saturday-19B,4,0
100,100,saturday-19B,saturday-20B,4,0
100,100,saturday-20B,saturday-21B,4,0
100,100,saturday-21B,saturday-22B,4,0
100,100,saturday-22B,saturday-23B,4,0
100,100,saturday-23B,saturday-24B,4,0
100,100,saturday-24B,saturday-25B,4,0
100,100,saturday-25B,saturday-26B,4,0
100,100,saturday-26B,saturday-27B,4,0
100,100,saturday-27B,saturday-28B,4,0
100,100,saturday-28B,saturday-29B,4,0
100,100,saturday-29B,saturday-30B,4,0
100,100,saturday-30B,saturday-31B,4,0
100,100,saturday-31B,saturday-32B,4,0
100,100,saturday-32B,saturday-33B,4,0
100,100,saturday-33B,saturday-34B,4,0
100,100,saturday-34B,saturday-35B,4,0
100,100,saturday-35B,saturday-36B,4,0
100,100,saturday-36B,saturday-37B,4,0
100,100,saturday-37B,saturday-38B,4,0
100,100,saturday-38B,saturday-39B,4,0
100,100,saturday-39B,saturday-40B,4,0
